Age,Annual_Income,Employment_Type,Investment_80C,Insurance_80D,HRA_Claimed,Other_Deductions,Previous_Year_Tax,Effective_Tax_Paid,Overpayment_Risk
50,250000.0,1,4698.18977051914,15535.210935895855,0.0,12690.401303201294,9189.047619016812,9937.858846685654,0
36,361091.2366094116,1,31053.70442352169,29032.29001799752,0.0,44782.77886755854,14665.86205393596,12727.94514835384,1
29,540308.8080697192,0,112496.36537801812,47680.16838753972,138673.78485110326,5335.3277872006465,12076.34116704811,13149.420949539706,0
42,369386.00544766197,0,14956.514781562219,32524.167499734376,46637.967391156664,44459.71157844074,14245.264324530724,12380.139941840736,1
40,466830.82697935076,0,31331.254743820613,33655.665115497715,108492.34614033691,56602.82617688114,13687.612144966566,13559.277866056258,0
44,566679.9034979921,0,103919.65053152191,8946.425578041795,107953.35310117502,24733.200554012084,20119.556536241205,17613.507979980324,1
32,455924.94876979484,0,25590.319871931206,24630.483942641335,127660.21879320475,4982.909697862158,13034.688948776417,13828.867012034352,0
32,470577.2142641203,1,35898.976701019245,18354.13735436233,0.0,48455.828988903435,17627.766327388006,19663.84874031371,0
45,250000.0,0,15550.516924463003,23547.842619551502,72549.3768187126,23753.012511800538,6545.749545157668,6268.455377794889,0
57,351615.2823847034,0,15302.922646257239,40041.328822093856,42540.009347829124,17436.765631638613,11753.297597790934,11429.80026415292,0
45,658993.9759744892,1,90082.56196187047,23034.949387304914,0.0,48242.72312602694,22193.416675183005,22766.854960767014,0
24,415569.57716441405,0,35270.44369867419,3142.533912891754,122474.95012455179,67871.05282361564,10121.11010137115,9354.183975525486,0
43,684510.7272994863,0,114330.87295609294,45277.08305754315,79429.5516808225,52172.566419801624,16261.35849794795,18409.780007751317,0
23,291532.65540415794,1,11241.928735898726,27240.79437259853,0.0,34394.50283915628,11314.685438243607,10597.2477768511,0
45,435092.11782018095,0,23410.879804398453,46224.7179265146,100068.63069319703,42035.75056969037,11731.030733535172,12694.345829090518,0
51,342598.2343672198,0,12525.67365819457,28617.725601381222,94560.99592219121,9959.52360800522,9799.29215121621,10947.289585158216,0
59,488797.70276868297,1,4004.60804401227,3481.8157987530294,0.0,56924.92999779656,25984.7467134329,22240.305247066997,1
23,534251.3002090182,1,66290.74751527389,27643.46967628856,0.0,42300.65074279932,20124.62877148114,19907.073986863204,0
42,490369.91435513506,1,18704.037364410164,28786.94662463403,0.0,67608.12785986121,20251.554783918156,18127.12944280485,1
54,556277.8215622043,0,54339.07079839691,10716.993967148781,108041.61582598269,68563.83578029636,14456.033958220265,16405.109890261294,0
33,398024.051721651,1,14849.744556970823,23551.454205218837,0.0,24821.068470828217,15050.659560114798,17297.36783959961,0
43,371420.74485044833,0,18020.590317563907,22972.075593682566,102058.94528538961,69198.21548588696,8918.361197023252,8716.161294531434,0
